Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²),Total Dissolved Solids (mg/L),Contaminant Level,Disease Indicator / Risk
Nigeria,Central,2020,River,8.21,6.62,4.94,4.77,30.23,10.35,3177,Boiling,43.06,149,42,74,99.47,85870,88.13,17.27,52.99,1932,26.28,23,,,
Nigeria,Central,2020,Well,4.49,7.48,1.51,4.91,47.4,19.71,3314,,51.37,326,2,97,78.91,88076,84.35,84.15,74.2,473,24.88,451,,,
Nigeria,Central,2019,Well,6.8,8.09,2.74,5.57,26.13,17.19,4339,Filtration,95.84,62,23,95,64.84,77613,23.7,17.6,95.09,2549,5.96,179,,,
Nigeria,Central,2019,Well,8.15,8.39,0.21,8.33,5.2,6.72,4906,Boiling,37.22,231,36,28,78.53,57426,48.96,19.76,22.06,511,7.1,835,,,
Nigeria,Central,2019,Well,10,6.97,1.84,9.38,48.09,4.11,1602,Chlorination,44.73,488,22,15,85.23,21829,18.07,58.83,51.19,1409,38.59,781,,,
Nigeria,Central,2018,Pond,2.58,7.18,1.97,4.29,14.33,4.35,612,,64.71,263,6,71,91.93,20341,81.07,80.13,66.17,2181,8.8,22,,,
Nigeria,Central,2018,Spring,4.9,6.32,0.22,5.71,19.26,9.24,3217,Boiling,95.51,183,4,75,34.93,2716,40.39,14.45,94.22,1869,26.28,177,,,
Nigeria,Central,2018,Tap,0.81,7.03,4.69,8,29.99,20,3293,Chlorination,78.88,483,27,28,64.54,32214,51.05,19.13,72.5,2891,12.02,432,,,
Nigeria,Central,2018,Well,2.9,6.16,0.78,7.78,19.29,3.7,204,Boiling,67.66,110,28,57,51.24,9521,57.35,36.34,76.86,2929,4.02,888,,,
Nigeria,Central,2017,Pond,0.7,6.38,3.47,7.72,44.84,18.07,1893,Filtration,65.85,302,30,59,3.09,22250,11.1,37.45,87.91,864,38.66,512,,,
Nigeria,Central,2017,Pond,8.32,8.24,0.31,7.16,38.32,19.03,2991,Chlorination,34.46,100,15,93,25.44,40170,68.78,68.49,47.42,1492,16.93,665,,,
Nigeria,Central,2017,River,5.78,8.26,2.04,6.5,10.77,15.81,2470,,48.04,498,16,20,76.38,1780,18.22,55.62,78.59,1528,6.28,215,,,
Nigeria,Central,2016,Pond,3.56,8.12,2.47,4.14,18.42,5.18,4639,Boiling,58.48,475,39,3,60.59,59074,59.79,47.24,54.61,2082,36.32,615,,,
Nigeria,Central,2016,River,0.23,7.5,0.65,3.06,37.27,3.15,277,Boiling,40.56,226,12,83,85.35,16073,34.04,87.34,40.28,2040,23.71,321,,,
Nigeria,Central,2016,Spring,7.67,7.39,4.53,9.1,12.71,15.99,3419,Filtration,56.02,190,19,91,22.32,69896,94.12,36.65,99.96,340,1.66,504,,,
Nigeria,Central,2016,Well,6.53,6.44,0.33,8.42,32.4,16.64,275,Boiling,71.63,126,49,51,72.36,81277,76.65,30.72,32.39,1639,25.89,177,,,
Nigeria,Central,2015,Pond,1.08,7.43,1.45,9.39,47.25,13.49,1932,Filtration,77.75,173,29,20,58.13,1123,58.46,76.86,41.12,1832,26.22,61,,,
Nigeria,Central,2015,Spring,5.13,6.05,2.8,3.63,11.95,17.98,4918,,46.99,218,2,75,37.06,25913,32.82,46.76,38.59,2120,26.06,906,,,
Nigeria,Central,2015,Tap,9.43,6.05,3.05,3.92,0.23,0.08,3852,Filtration,37.38,388,31,68,60.54,38435,27.45,29.71,76.33,1868,21.57,739,,,
Nigeria,Central,2015,Tap,3.17,7.1,1.27,5.05,4.04,6.38,608,Boiling,44.99,219,21,53,42.47,36611,67.27,11.16,29.96,923,35.67,988,,,
Nigeria,Central,2014,Spring,9.32,6.32,0.17,7.62,6.35,11.2,1052,Filtration,34.48,69,24,40,97.12,17546,46.86,26.44,54.3,1430,5,114,,,
Nigeria,Central,2014,Tap,1.75,6.63,3.98,7.63,35.41,16.28,2153,Chlorination,95.72,396,5,86,85.11,55971,51.56,61.65,89.99,753,14.91,109,,,
Nigeria,Central,2014,Well,8.65,6.12,0.55,9.24,24.19,10.88,4785,Chlorination,46.82,137,38,36,13.87,32320,76.68,87.72,36.96,2424,11.01,649,,,
Nigeria,Central,2013,Lake,9.69,6.86,1.27,7.22,12.21,6.3,1025,Boiling,62.02,46,31,18,97.14,42436,51.92,54.71,61.73,605,4.73,53,,,
Nigeria,Central,2013,Well,9.14,6.45,0.62,7.59,45.99,10.23,2493,Chlorination,55.44,261,2,38,4.43,72858,57.11,89.85,78.67,2083,35.73,250,,,
Nigeria,Central,2012,Lake,8.95,6.12,1.62,5.18,2.5,18.94,3306,,57.66,360,31,25,54.96,50868,73.54,37.86,80.93,2273,14.37,772,,,
Nigeria,Central,2012,Pond,6.25,7.2,2.33,6.83,22.45,18.35,1740,Filtration,52.64,392,15,37,82.25,96321,72.14,65.63,79.08,1308,31.22,708,,,
Nigeria,Central,2012,River,2.78,7.54,1.78,4.71,0.11,9.73,2937,Boiling,87.56,496,2,66,25.4,7008,68.79,60.53,74.35,2896,10.14,247,,,
Nigeria,Central,2012,Spring,7.22,7.53,1.82,9.78,33.07,9.19,1427,Filtration,99.27,395,22,8,9.57,33940,68.55,48.66,72.15,2791,20.8,399,,,
Nigeria,Central,2012,Tap,8.81,7.23,2.51,3.29,43.08,7.33,4612,Chlorination,47.7,138,32,56,35.4,33207,19.3,65.62,74.92,2134,10.51,163,,,
Nigeria,Central,2011,Lake,9.94,8,1.5,8.3,37.23,1.24,3704,Filtration,68.34,319,30,29,25.44,5468,96.54,23.41,58.52,309,19.66,609,,,
Nigeria,Central,2011,Spring,7.19,6.34,4.66,4.62,35.79,5.71,3113,Boiling,58.31,403,13,20,43.65,17296,90.69,69.04,48.28,1231,22.65,685,,,
Nigeria,Central,2011,Tap,5.8,7.33,1.68,7.89,30.27,2.24,3001,Chlorination,36.9,41,7,88,3.1,79223,76.37,10.7,29.29,718,37.69,360,,,
Nigeria,Central,2010,Pond,2.96,8.39,3.36,6.22,30.1,5.45,2256,,36.62,300,46,66,15.04,80219,50.84,67.21,62.67,2584,18.18,908,,,
Nigeria,Central,2010,Tap,6.23,7.77,1.48,4.58,10.9,8.47,2728,Boiling,72.81,399,21,7,26.85,94833,8.16,22.83,84.11,1104,26.92,16,,,
Nigeria,Central,2010,Tap,2.24,7.6,2.03,3.74,16.5,10.05,1086,,83.91,257,31,84,80.66,94177,76,48.98,96.28,2957,10.24,38,,,
Nigeria,Central,2009,Lake,7.9,7.76,1.84,9.99,38.17,6.49,48,Chlorination,52.15,450,46,35,66.03,30235,51.9,17.54,70.99,986,32.92,162,,,
Nigeria,Central,2009,River,2.94,6.12,0.2,4.82,33.51,14.15,4178,Chlorination,40.6,243,38,92,36.36,50979,1.04,78.19,69.58,2206,13.88,114,,,
Nigeria,Central,2008,Lake,5.89,6.36,3.04,9.12,2.24,9.06,88,Filtration,86.07,29,40,24,46.14,5065,61.6,58.19,95.95,781,1.37,497,,,
Nigeria,Central,2008,Pond,8.22,7.25,3.99,7.17,38.81,7.08,3420,Boiling,66.33,266,24,93,38.65,82294,15.4,35.21,40.11,1511,30.57,142,,,
Nigeria,Central,2008,Tap,2.22,6.5,0.03,3.74,47.58,15.31,2259,Filtration,62.56,48,47,51,79.58,57826,32.31,38.53,25.32,1335,35.88,780,,,
Nigeria,Central,2007,Well,8.53,6.46,1,4.57,1,8.23,1055,Boiling,53.51,321,23,75,88.17,81641,41.14,72.26,77.68,963,16.98,530,,,
Nigeria,Central,2006,Lake,5.83,7.36,0.37,3.6,44.4,12.16,1046,Chlorination,30.9,204,40,77,99.2,30267,43.88,48.74,98.25,2505,24.85,881,,,
Nigeria,Central,2006,Spring,9.48,6.94,2.22,3.74,6.3,7.48,4657,Chlorination,31.56,365,10,85,84.52,10941,46.27,49.77,48.53,1324,9.47,336,,,
Nigeria,Central,2006,Tap,1.41,7.8,4.95,3.84,11.67,9.42,2148,Boiling,85.95,131,29,56,52.51,77858,92.43,67.91,81.82,548,14.65,413,,,
Nigeria,Central,2005,Pond,3.1,6.29,4.69,3.62,38.5,15.37,1801,Boiling,56.33,427,7,92,21.34,83684,85.83,38.25,54.82,1924,23.09,514,,,
Nigeria,Central,2005,Pond,0.55,6.04,0.73,9.46,4,15.55,1753,Boiling,40.28,206,5,7,22.1,94634,3.13,47.46,59.88,2326,9.2,558,,,
Nigeria,Central,2005,River,0.79,6.52,1.41,6.55,33.66,3.44,2486,Boiling,78.57,495,37,50,65.5,30378,20.25,32.63,51.4,2931,5.98,892,,,
Nigeria,Central,2004,Pond,6.83,6.97,3.84,3.23,34.35,3.89,4452,Chlorination,46.17,220,29,45,50.3,35439,41.15,22.38,54,1865,38.65,124,,,
Nigeria,Central,2004,Spring,6.83,7.36,1.94,3.96,16.74,10.37,3377,Boiling,37.31,279,11,18,94.86,22230,67.72,49.45,91.3,2732,26.14,380,,,
Nigeria,Central,2003,River,6.87,7.26,3.3,3.22,47.09,15.85,533,,68.01,60,30,30,2.78,27096,60.14,18.34,96.87,1960,3.63,343,,,
Nigeria,Central,2003,River,2.97,7.02,3.07,5.31,32.88,7.95,4310,Filtration,71.92,389,6,16,73.69,42609,33.11,36.78,93.82,2902,10.85,716,,,
Nigeria,Central,2002,Tap,5.75,7.82,4.81,3.73,31.37,19.32,864,Chlorination,80.78,355,29,95,73.62,62811,1.88,72.47,91.77,1140,13.02,919,,,
Nigeria,Central,2002,Tap,9.99,8.26,4.18,9.64,18.01,0.53,4996,,95.71,410,25,45,69.72,93804,49.86,43.93,44.32,1209,6.33,76,,,
Nigeria,Central,2001,Tap,5.55,6.3,3.78,4.13,39.31,15.25,1142,Boiling,46.52,466,31,39,86.05,76182,4.73,40.49,31.92,1810,13.62,578,,,
Nigeria,Central,2001,Tap,2.97,7.41,4.7,6.52,35.53,10.14,3696,Boiling,82.84,146,23,39,79.59,43052,64.51,30.87,44.99,2006,1.76,973,,,
Nigeria,Central,2000,Pond,7.1,7.5,2.01,7.62,26.25,8.5,2233,,52.09,36,4,26,48.53,79136,9.84,40.91,45.13,2896,8.44,462,,,
Nigeria,Central,2000,Tap,3.56,7.47,0.94,3.89,8.75,7.23,1636,Chlorination,36.28,429,40,8,51.02,20829,55.95,72.32,96.28,2022,12.75,853,,,
Nigeria,East,2024,Pond,5.13,6.98,2.66,7.52,7.47,10.83,3059,,45.05,275,38,96,36.53,11392,7.83,12.62,71.2,591,21.94,936,,,
Nigeria,East,2024,Spring,1.35,8.05,4.18,5.37,19.15,3.31,1512,Boiling,95.4,303,27,62,7.64,45887,46.95,28.14,87.47,243,30.99,394,,,
Nigeria,East,2024,Tap,0.85,6.38,0.16,6.92,13.93,7.34,2043,Boiling,43.16,453,11,12,16.24,37129,65.01,37.86,20.57,1797,18.79,679,,,
Nigeria,East,2024,Tap,3.79,8.21,4.15,3.35,11.73,19.59,773,Filtration,83.93,360,28,82,26.77,85359,82.11,66.64,26.36,735,10.06,476,,,
Nigeria,East,2023,Lake,9.58,7.31,2.37,7.54,4.68,6.63,2511,Filtration,70.85,324,40,52,76.71,83333,0.96,55.39,77.96,218,18.07,75,,,
Nigeria,East,2023,River,2.44,8.34,3.19,5.77,19.52,2.3,4220,,98.47,92,23,2,26.91,87899,36.37,77.49,61.1,915,33.68,585,,,
Nigeria,East,2023,Spring,4,8.08,1.91,5.67,7.79,7.83,4038,Filtration,42.7,255,9,66,55.04,72780,3.63,63.33,21.23,1946,6.04,574,,,
Nigeria,East,2023,Tap,5.26,7.23,4.39,3.28,47.67,3.63,1336,Filtration,84.17,475,20,0,77.44,87299,44.67,52.49,82.39,1332,35.48,690,,,
Nigeria,East,2022,Tap,3.56,7.94,1.67,7.04,47.42,11.86,2938,,76.36,477,27,99,88.02,6445,82.2,18.4,30.46,1996,19.34,784,,,
Nigeria,East,2021,Spring,5.4,7.29,2.61,8.92,16.01,13.35,3810,,66,424,7,87,89.19,64460,56.21,87.59,52.91,318,35.43,24,,,
Nigeria,East,2020,Lake,3.18,6.32,1.05,3.14,18.27,1.37,980,,80.14,147,22,28,89.76,66684,5.65,31.82,31.71,428,1.74,543,,,
Nigeria,East,2020,Pond,6.37,7.79,0.11,7.72,33.79,9.11,4382,Boiling,36.71,426,19,7,21.65,81819,25.66,46.93,68.53,1328,26.12,638,,,
Nigeria,East,2020,Spring,3.1,7.75,1.77,5.24,30.32,11.25,3209,Chlorination,66.84,315,45,63,23.3,54944,69.43,15.98,85.27,287,25.07,719,,,
Nigeria,East,2020,Tap,1.6,7.31,2.35,5.77,29.6,16.84,89,,54.64,430,5,27,84.63,70939,24.62,67.48,31.11,1889,34.07,26,,,
Nigeria,East,2019,Spring,1.8,7.88,0.67,3.7,21.31,8.77,4422,Boiling,40.64,340,8,15,91.29,19552,93.87,25.38,70.56,923,34.77,93,,,
Nigeria,East,2018,River,6.48,7.65,1.76,9.6,30.02,14.23,1549,Chlorination,35.27,107,8,23,73.39,6043,2.5,88.2,33.75,1756,28.72,289,,,
Nigeria,East,2018,River,5.77,7.16,4.78,6.72,49.66,10.9,473,Chlorination,42.11,190,2,2,49.82,74139,49.16,88.94,29.12,376,19.93,560,,,
Nigeria,East,2018,Spring,4.74,8.15,1.85,8.48,23.07,3.96,154,Filtration,63.16,266,35,21,24.69,42034,90.98,23.72,62.74,475,25.66,800,,,
Nigeria,East,2018,Tap,8.35,8.34,0.53,7.86,41.93,8.64,2926,,60.98,248,44,80,30.41,50053,50.15,17.85,25.43,1248,6.76,187,,,
Nigeria,East,2018,Tap,4.37,6.32,2.49,3.02,38.29,4.98,489,Boiling,90.59,488,29,56,32.09,30216,37.97,78.41,87.08,2332,15.96,545,,,
Nigeria,East,2018,Well,1.4,6.07,4.85,5.54,33.98,18.47,2519,Boiling,47.88,102,5,23,51,20341,75.21,41.58,22.03,1973,20.45,67,,,
Nigeria,East,2017,River,7.72,6.94,0.73,7.32,44.48,15,3641,,68.62,290,45,10,63.78,11337,23.93,57.53,28.48,1077,39.98,526,,,
Nigeria,East,2017,River,4.04,6.23,2.25,7.2,13.43,16.38,576,,33.86,317,12,35,73.52,45656,63.52,42.42,89.64,782,37.76,295,,,
Nigeria,East,2017,Well,8.28,7.33,3.53,6.18,46.22,0.68,1839,Chlorination,56.11,263,25,1,60.27,72372,13.73,49.87,94.19,2432,20.87,836,,,
Nigeria,East,2016,Lake,2.97,7.44,4.28,5.15,48.04,2.72,1837,Chlorination,54.46,88,41,14,84.42,58046,74.45,53.8,70.47,1663,33.31,553,,,
Nigeria,East,2016,River,9.64,7.75,4.53,5.02,35.46,17.12,4983,,54.43,337,17,42,9.08,78990,30.02,23.98,75.22,1295,36.24,19,,,
Nigeria,East,2016,Well,7.91,6.71,1.96,3.12,36.92,6.77,3779,Boiling,57.53,3,33,13,95.66,31166,39.07,71.07,94.25,937,3.79,555,,,
Nigeria,East,2016,Well,9.97,8.36,0.89,8.18,13.33,16.7,3711,Chlorination,80.72,123,44,31,13.49,61838,5.71,12.75,49.43,1699,20.65,353,,,
Nigeria,East,2015,Lake,9.77,8.21,3.11,6.82,23.88,11.56,4958,Boiling,79.1,274,0,45,27.17,63039,51.93,52.05,41.55,1454,29.58,496,,,
Nigeria,East,2015,Pond,5.19,6.43,1.16,8.46,22.97,19.38,3393,Boiling,95.17,306,7,52,47.43,54506,95.96,80.96,75.84,2599,26.55,625,,,
Nigeria,East,2014,Pond,2.59,6.63,4.52,8.05,31.08,14.99,4351,,51.75,38,31,43,54.23,61949,97.69,31.33,43.63,2417,23.82,687,,,
Nigeria,East,2014,Pond,6.71,6.5,1.41,8.22,33.52,10.11,1908,Boiling,33.51,153,41,56,27.99,6489,61.32,85.49,77.39,1981,28.01,657,,,
Nigeria,East,2014,Well,8.02,7.79,2.43,6.6,29.71,1.9,3882,,30.73,269,22,30,10.67,76422,55.71,36.09,54.11,543,33.57,263,,,
Nigeria,East,2013,Spring,7.59,6.99,0.98,6.74,42,4.8,3298,Boiling,62.17,78,2,50,79.34,46749,56.14,87.1,94.96,794,16.85,724,,,
Nigeria,East,2011,Spring,6.94,7,3.19,4.1,7.07,1.31,2596,Chlorination,96.75,451,39,27,88.9,64833,49.41,50.84,69.92,1292,35.31,566,,,
Nigeria,East,2011,Spring,0.33,7.79,2.62,7.18,47.19,5.12,636,,56.88,154,4,1,70.09,55442,93.69,29.65,42.37,2171,22.25,569,,,
Nigeria,East,2010,Lake,5.38,7.3,2.93,4.01,28.37,5.83,1922,,43.6,381,17,30,94.55,82681,19.52,29.12,93.78,2801,31.23,127,,,
Nigeria,East,2010,River,2.6,7.88,2.91,3.27,17.52,11.7,1672,Chlorination,73.03,220,41,82,51.87,88378,78.33,39.81,64.18,2518,4.28,370,,,
Nigeria,East,2009,Pond,0.86,6.55,4.53,3.2,37.29,15.24,561,,97.59,443,38,10,60.32,40356,7.92,30.55,72.53,2260,13.8,502,,,
Nigeria,East,2009,Pond,5.33,6.07,0.98,4.61,47.7,2.92,4178,Chlorination,80.58,78,10,75,42.2,16323,16.1,37.42,35.75,2141,24.39,600,,,
Nigeria,East,2009,Tap,2.65,7.9,0.64,4.32,5.51,5.12,2255,Boiling,89.11,373,6,43,92.22,65652,3.34,64.22,92.82,1765,31.4,389,,,
Nigeria,East,2008,Tap,2.07,6.3,2.93,8.37,12.96,12.64,4815,Filtration,66.06,95,41,81,8.26,15259,92.88,59.26,61.74,246,37.5,960,,,
Nigeria,East,2007,Lake,7.79,8.42,2.83,5.01,44.18,4.23,4062,Filtration,61.12,459,35,73,22.9,6503,20.96,66.13,89.99,1525,26.21,514,,,
Nigeria,East,2007,Lake,5.3,6.4,3.59,7.24,17.22,5.11,722,Chlorination,66.96,413,21,23,37.76,63581,49.75,36.9,67.53,2183,17.38,906,,,
Nigeria,East,2006,Lake,5.63,6.86,2.09,8.65,9.05,7.01,3352,,80.74,276,14,58,98.47,51117,56.12,74.98,33.48,2100,3.74,635,,,
Nigeria,East,2006,River,3.37,6.95,1.99,5.07,49.11,1.26,1944,Boiling,31.37,402,17,33,95.92,41029,94.18,43.56,27.27,2968,38.7,381,,,
Nigeria,East,2006,River,8.67,7.14,1.55,4.57,19.52,9.03,1741,,54.78,81,22,91,62.06,56505,17.23,52.81,64.2,1453,5.91,10,,,
Nigeria,East,2004,Lake,0.32,6.09,2.29,4.97,32.75,11.03,4439,Boiling,37.04,363,25,95,97.23,55339,19.39,64.71,91.8,2044,3.35,115,,,
Nigeria,East,2004,Pond,3.52,7.24,0.26,3.18,38.07,14.42,1537,,45.76,270,6,68,80.11,49834,65.46,61.78,76.99,321,13.23,754,,,
Nigeria,East,2004,River,7.05,6.08,4.41,5.62,31.39,1.32,1605,Filtration,50.99,20,16,87,4.52,45274,98.04,17.09,56.59,1208,34.1,842,,,
Nigeria,East,2004,Tap,9.69,7.06,2.14,7.69,6.79,4.83,78,Chlorination,46.78,52,29,72,44.57,87226,43.62,14.98,72.73,1265,16.11,139,,,
Nigeria,East,2003,River,8.14,8.25,4.28,5.12,10.47,12.07,324,,99.39,57,38,80,15.51,16503,7.15,43.43,78.71,2860,4.05,510,,,
Nigeria,East,2003,Tap,0.31,8.39,1.21,6.46,32.18,4.65,1813,,83.14,196,7,94,30.26,68351,20.37,33.23,52.07,1804,10.99,197,,,
Nigeria,East,2002,Spring,2.08,6.97,0.84,6.12,48.71,13.5,2546,Boiling,65.89,413,19,50,45.11,29439,91.09,77.45,23.25,1229,39.8,586,,,
Nigeria,East,2002,Spring,0.57,6.14,1.46,4.44,11.17,1.06,3934,Boiling,95.09,97,40,49,45.7,25187,98.33,12.12,88.82,2740,9.58,52,,,
Nigeria,East,2002,Tap,2.82,7.4,4.43,9.69,37.58,18.52,359,,36.34,12,28,56,73.77,21255,75.34,15.22,53.06,264,31.64,882,,,
Nigeria,East,2001,Lake,0.44,7.37,0.99,3.57,38.88,0.92,2610,Filtration,64.85,109,44,26,74.31,71308,61.02,55.72,64.42,1325,30.91,982,,,
Nigeria,East,2001,Spring,0.93,7.71,3.11,3.93,40.91,0.26,2882,Chlorination,71.38,433,23,94,86.09,6027,31.4,29.82,22.76,1817,1.59,162,,,
Nigeria,East,2000,Lake,5.52,8.24,2.83,6.44,40.68,10.68,2358,Boiling,44.24,430,12,98,61.18,18629,74.77,76.57,58.19,1001,20.3,88,,,
Nigeria,East,2000,Lake,7.48,6.52,4.05,7.53,18.76,19.99,1355,Filtration,39.8,301,42,99,15.15,48747,90.09,56.91,93.65,2377,21.46,84,,,
Nigeria,East,2000,River,7.96,7.55,1.46,7.68,13.17,0.39,209,Filtration,89.86,312,2,71,24.74,47568,91.4,23.81,87.62,1510,23.33,662,,,
Nigeria,East,2000,River,1.56,7.57,0.33,7.2,15.23,1.79,4620,Chlorination,45.31,247,13,0,51.83,3701,41.89,85.04,94.14,2087,21.77,180,,,
Nigeria,North,2024,River,4.45,8.19,2.77,6.63,9.53,6.6,368,,31.61,482,19,49,17.23,83632,8.71,56.3,93.89,1983,33.85,538,,,
Nigeria,North,2024,Tap,9.33,8.37,3.67,8.19,10.82,4.78,2488,,36.66,40,0,92,16.43,33244,78.27,29.98,85.17,433,33.21,424,,,
Nigeria,North,2023,Tap,4.91,6.85,4.08,8.94,48.59,0.49,2781,Filtration,51.29,205,5,25,23.71,36638,46.28,56.18,67.12,2579,13.67,928,,,
Nigeria,North,2023,Well,3.6,7.54,4.67,9.89,5.75,14.38,3600,,50.52,11,25,45,71.1,39664,45.09,33.19,27.66,1630,24.41,850,,,
Nigeria,North,2022,Lake,4.34,6.43,0.57,3.05,24.17,14.31,2748,,51.39,254,27,50,76.26,95245,28.63,48.96,44.2,1281,31.1,621,,,
Nigeria,North,2022,Pond,0.47,7.13,4.51,3.07,35.89,0.55,573,Boiling,94.52,175,29,35,60.7,86449,21.42,51.25,38.68,1794,30.44,43,,,
Nigeria,North,2021,Pond,2.76,8.18,4.07,4.05,47.02,15.07,2679,Boiling,38.59,47,30,62,43.58,26435,68.31,25.92,40.08,667,32.34,484,,,
Nigeria,North,2021,River,0.88,8.39,1.74,7.41,14.03,9.68,1384,,34.88,250,22,12,60.39,14366,28.28,61.91,81.56,2472,10.47,484,,,
Nigeria,North,2021,Well,0.11,8.25,0.61,8.85,4.67,0.09,352,Filtration,96.05,146,19,23,5.49,95756,47.55,80.85,74.77,2993,32.31,864,,,
Nigeria,North,2020,Pond,9.77,8.26,0.76,5.81,0.64,10.99,968,Boiling,58.88,269,27,91,13.42,22225,46.22,31.65,21.07,1397,39.02,337,,,
Nigeria,North,2020,River,5.67,6.26,0.47,5.04,23.35,17.97,553,Boiling,33.49,229,1,80,7,13967,65.1,13.74,63.35,1310,10.23,180,,,
Nigeria,North,2020,Tap,8.65,6.31,2.61,7.32,7.72,13.64,2953,,92.31,182,12,98,42.71,75917,11.97,64.91,29.56,212,28.85,82,,,
Nigeria,North,2020,Tap,0.31,7.91,0.08,5.15,46.66,10.73,3163,Chlorination,73.74,245,40,39,34.09,72965,63.1,66.84,26.21,840,2.54,395,,,
